year,leaid,lea_name,state_location,city_location,agency_type,enrollment,agency_level,lowest_grade_offered,highest_grade_offered,number_of_schools,boundary_change_indicator,read_test_num_valid,read_test_pct_prof_midpt,math_test_num_valid,math_test_pct_prof_midpt,cohort_num,grad_rate_midpt,exp_total,exp_current_elsec_total,exp_tech_equipment,exp_tech_supplies_services
2016,5400630,LEWIS COUNTY SCHOOLS,WV,WESTON,Regular local school district,2561,Other,Pre-K,12,6,No change; operational,1241,36,1241,26,182,87,30950000,29637000,0,802000
2016,5400660,LINCOLN COUNTY SCHOOLS,WV,HAMLIN,Regular local school district,3540,Other,Pre-K,12,8,No change; operational,1749,39,1748,24,211,93,41923000,41253000,17000,525000
2016,5400690,LOGAN COUNTY SCHOOLS,WV,LOGAN,Regular local school district,5846,Other,Pre-K,12,18,No change; operational,2760,40,2768,28,457,91,73635000,67628000,24000,703000
2016,5400720,MARION COUNTY SCHOOLS,WV,FAIRMONT,Regular local school district,8105,Other,Pre-K,12,22,No change; operational,3855,55,3853,42,565,93,96797000,94819000,0,3121000
2016,5400750,MARSHALL COUNTY SCHOOLS,WV,MOUNDSVILLE,Regular local school district,4607,Other,Pre-K,12,14,No change; operational,2189,42,2190,32,318,91,72423000,62177000,6000,1332000
2016,5400780,MASON COUNTY SCHOOLS,WV,POINT PLEASANT,Regular local school district,4152,Other,Pre-K,12,12,No change; operational,2008,42,2009,26,297,91,49921000,46730000,9000,1124000
2016,5400810,MCDOWELL COUNTY SCHOOLS,WV,WELCH,Regular local school district,3200,Other,Pre-K,12,11,No change; operational,1484,34,1480,21,238,83,43410000,42014000,23000,1128000
2016,5400840,MERCER COUNTY SCHOOLS,WV,PRINCETON,Regular local school district,9216,Other,Pre-K,12,28,No change; operational,4289,47,4288,36,616,89,108395000,99237000,173000,710000
2016,5400870,MINERAL COUNTY SCHOOLS,WV,KEYSER,Regular local school district,4165,Other,Pre-K,12,14,No change; operational,1973,41,1974,37,319,97,49540000,48325000,73000,883000
2016,5400900,MINGO COUNTY SCHOOLS,WV,WILLIAMSON,Regular local school district,4200,Other,Pre-K,12,11,No change; operational,1980,51,1976,34,231,94,49821000,47452000,6000,1061000
2016,5400930,MONONGALIA COUNTY SCHOOLS,WV,MORGANTOWN,Regular local school district,11454,Other,Pre-K,12,19,No change; operational,5466,57,5465,47,802,90,153158000,130082000,3055000,1952000
2016,5400960,MONROE COUNTY SCHOOLS,WV,UNION,Regular local school district,1829,Other,Pre-K,12,5,No change; operational,860,46,859,33,138,97,21165000,20353000,9000,445000
2016,5400990,MORGAN COUNTY SCHOOLS,WV,BERKELEY SPRINGS,Regular local school district,2323,Other,Pre-K,12,7,No change; operational,1133,43,1132,29,189,92,26563000,26375000,19000,1034000
2016,5401020,NICHOLAS COUNTY SCHOOLS,WV,SUMMERSVILLE,Regular local school district,3795,Other,Pre-K,12,14,No change; operational,1842,44,1843,31,271,93,60516000,55967000,36000,1019000
2016,5401050,OHIO COUNTY SCHOOLS,WV,WHEELING,Regular local school district,5367,Other,Pre-K,12,13,No change; operational,2525,58,2525,43,355,97,72551000,66888000,35000,636000
2016,5401080,PENDLETON COUNTY SCHOOLS,WV,FRANKLIN,Regular local school district,931,Other,Pre-K,12,4,No change; operational,436,50,437,37,81,97,13028000,13007000,0,166000
2016,5401110,PLEASANTS COUNTY SCHOOLS,WV,ST MARYS,Regular local school district,1137,Other,Pre-K,12,5,No change; operational,557,50,557,34,95,92,18225000,16305000,50000,506000
2016,5401140,POCAHONTAS COUNTY SCHOOLS,WV,MARLINTON,Regular local school district,1061,Other,Pre-K,12,5,No change; operational,504,44,504,43,85,87,15415000,15151000,89000,902000
2016,5401170,PRESTON COUNTY SCHOOLS,WV,KINGWOOD,Regular local school district,4513,Other,Pre-K,12,10,No change; operational,2208,40,2210,28,305,83,47054000,43340000,57000,1069000
2016,5401200,PUTNAM COUNTY SCHOOLS,WV,WINFIELD,Regular local school district,9715,Other,Pre-K,12,23,No change; operational,4817,56,4820,45,761,93,112570000,107373000,24000,1325000
2016,5401230,RALEIGH COUNTY SCHOOLS,WV,BECKLEY,Regular local school district,12149,Other,Pre-K,12,29,No change; operational,5744,48,5745,36,784,87,150660000,132303000,6074000,2049000
2016,5401260,RANDOLPH COUNTY SCHOOLS,WV,ELKINS,Regular local school district,4048,Other,Pre-K,12,16,No change; operational,1935,40,1937,26,253,90,42149000,41693000,0,524000
2016,5401290,RITCHIE COUNTY SCHOOLS,WV,HARRISVILLE,Regular local school district,1444,Other,Pre-K,12,6,No change; operational,710,45,710,33,94,87,17787000,17348000,19000,386000
2016,5401320,ROANE COUNTY SCHOOLS,WV,SPENCER,Regular local school district,2304,Other,Pre-K,12,5,No change; operational,1150,44,1150,24,163,92,23527000,22165000,0,292000
2016,5401350,SUMMERS COUNTY SCHOOLS,WV,HINTON,Regular local school district,1559,Other,Pre-K,12,5,No change; operational,755,41,755,26,98,87,16266000,15753000,0,264000
2016,5401380,TAYLOR COUNTY SCHOOLS,WV,GRAFTON,Regular local school district,2456,Other,Pre-K,12,6,No change; operational,1159,45,1159,36,170,87,26671000,25985000,6000,902000
2016,5401410,TUCKER COUNTY SCHOOLS,WV,PARSONS,Regular local school district,978,Other,Pre-K,12,3,No change; operational,478,46,478,27,83,97,14855000,12415000,0,319000
2016,5401440,TYLER COUNTY SCHOOLS,WV,SISTERSVILLE,Regular local school district,1309,Other,Pre-K,12,4,No change; operational,615,48,615,35,116,92,18708000,18038000,16000,1049000
2016,5401470,UPSHUR COUNTY SCHOOLS,WV,BUCKHANNON,Regular local school district,3785,Other,Pre-K,12,10,No change; operational,1820,39,1816,26,256,91,40435000,39330000,0,574000
2016,5401500,WAYNE COUNTY SCHOOLS,WV,WAYNE,Regular local school district,7135,Other,Pre-K,12,20,No change; operational,3414,49,3415,37,580,87,98425000,76725000,6000,802000
2016,5401530,WEBSTER COUNTY SCHOOLS,WV,WEBSTER SPRINGS,Regular local school district,1396,Other,Pre-K,12,4,No change; operational,660,36,660,24,91,97,15930000,15059000,0,278000
2016,5401560,WETZEL COUNTY SCHOOLS,WV,NEW MARTINSVILLE,Regular local school district,2554,Other,Pre-K,12,9,No change; operational,1258,40,1259,28,217,93,46212000,40941000,7000,2297000
2016,5401590,WIRT COUNTY SCHOOLS,WV,ELIZABETH,Regular local school district,1025,Other,Pre-K,12,3,No change; operational,501,48,501,35,76,87,13929000,11626000,0,189000
2016,5401620,WOOD COUNTY SCHOOLS,WV,PARKERSBURG,Regular local school district,12860,Other,Pre-K,12,29,No change; operational,6095,50,6096,38,902,90,146176000,140886000,14000,2513000
2016,5401621,WV SCHOOLS FOR THE DEAF AND THE BLIND,WV,ROMNEY,State-operated agency,120,Not applicable,Not applicable,Not applicable,3,No change; operational,,,,,,,15233000,14713000,0,21000
2016,5401650,WYOMING COUNTY SCHOOLS,WV,PINEVILLE,Regular local school district,3977,Other,Pre-K,12,14,No change; operational,1893,45,1893,27,311,89,47441000,46514000,60000,303000
